Player,Team,Gms,Att,Yds,Avg,YPG,Lg,TD,FD
Josh JacobsJ. Jacobs,LV,17,340,"1,653",4.86,97.2,86t,12,93
Derrick HenryD. Henry,TEN,16,349,"1,538",4.41,96.1,56,13,65
Nick ChubbN. Chubb,CLE,17,302,"1,525",5.05,89.7,41t,12,69
Saquon BarkleyS. Barkley,NYG,16,295,"1,312",4.45,82.0,68,10,62
Miles SandersM. Sanders,PHI,17,259,"1,269",4.90,74.7,40t,11,62
Dalvin CookD. Cook,MIN,17,264,"1,173",4.44,69.0,81t,8,50
Justin FieldsJ. Fields,CHI,15,160,"1,143",7.14,76.2,67t,8,65
Christian McCaffreyC. McCaffrey,CAR/SF,17,244,"1,139",4.67,67.0,49,8,59
Travis EtienneT. Etienne,JAX,17,220,"1,125",5.11,66.2,62t,5,52
Aaron JonesA. Jones,GB,17,213,"1,121",5.26,65.9,36,2,54
Jamaal WilliamsJ. Williams,DET,17,262,"1,066",4.07,62.7,58,17,65
Kenneth WalkerK. Walker,SEA,15,228,"1,050",4.61,70.0,74t,9,51
Rhamondre StevensonR. Stevenson,NE,17,210,"1,040",4.95,61.2,49,5,49
Tyler AllgeierT. Allgeier,ATL,16,210,"1,035",4.93,64.7,44,3,53
Najee HarrisN. Harris,PIT,17,272,"1,034",3.80,60.8,36,7,45
Tony PollardT. Pollard,DAL,16,193,"1,007",5.22,62.9,57t,9,46
Dameon PierceD. Pierce,HOU,13,220,939,4.27,72.2,75t,4,54
Austin EkelerA. Ekeler,LAC,17,204,915,4.49,53.8,72t,13,46
D'Onta ForemanD. Foreman,CAR,17,203,914,4.50,53.8,60,5,45
Alvin KamaraA. Kamara,NO,15,223,897,4.02,59.8,27,2,40
Raheem MostertR. Mostert,MIA,16,181,891,4.92,55.7,67,3,44
Ezekiel ElliottE. Elliott,DAL,15,231,876,3.79,58.4,27,12,52
Jonathan TaylorJ. Taylor,IND,11,192,861,4.48,78.3,66t,4,39
Jeffery WilsonJ. Wilson,SF/MIA,16,176,860,4.89,53.8,41,5,44
Isiah PachecoI. Pacheco,KC,17,170,830,4.88,48.8,31,5,37
Devin SingletaryD. Singletary,BUF,16,177,819,4.63,51.2,33t,5,42
Joe MixonJ. Mixon,CIN,14,210,814,3.88,58.1,40,7,47
David MontgomeryD. Montgomery,CHI,16,201,801,3.99,50.1,28,5,41
Brian RobinsonB. Robinson,WAS,12,205,797,3.89,66.4,24,2,49
Cam AkersC. Akers,LA,15,188,786,4.18,52.4,42,7,39
James ConnerJ. Conner,ARI,13,183,782,4.27,60.1,23,7,48
AJ DillonA. Dillon,GB,17,186,770,4.14,45.3,27,7,47
Lamar JacksonL. Jackson,BAL,12,112,764,6.82,63.7,79t,3,47
Josh AllenJ. Allen,BUF,16,124,762,6.15,47.6,44,7,55
Jalen HurtsJ. Hurts,PHI,15,165,760,4.61,50.7,42,13,67
Latavius MurrayL. Murray,NO/DEN,13,171,760,4.44,58.5,52,6,44
Khalil HerbertK. Herbert,CHI,13,129,731,5.67,56.2,63,4,26
Daniel JonesD. Jones,NYG,16,120,708,5.90,44.2,25,7,57
Cordarrelle PattersonC. Patterson,ATL,13,144,695,4.83,53.5,40,8,39
Leonard FournetteL. Fournette,TB,16,189,668,3.53,41.8,23,3,39
Taysom HillT. Hill,NO,16,96,575,5.99,35.9,60t,7,34
Antonio GibsonA. Gibson,WAS,15,149,546,3.66,36.4,20,3,32
D'Andre SwiftD. Swift,DET,14,99,542,5.47,38.7,50,5,21
J.K. DobbinsJ. Dobbins,BAL,8,92,520,5.65,65.0,44,2,26
James CookJ. Cook,BUF,16,89,507,5.70,31.7,33,2,24
Kenyan DrakeK. Drake,BAL,12,109,482,4.42,40.2,40,4,21
Rachaad WhiteR. White,TB,17,129,481,3.73,28.3,35,1,27
Kareem HuntK. Hunt,CLE,17,123,468,3.80,27.5,24t,3,30
Chuba HubbardC. Hubbard,CAR,15,95,466,4.91,31.1,35,2,23
Breece HallB. Hall,NYJ,7,80,463,5.79,66.1,62t,4,20
Damien HarrisD. Harris,NE,11,106,462,4.36,42.0,30,3,23
Zack MossZ. Moss,BUF/IND,13,93,456,4.90,35.1,43,1,18
Marcus MariotaM. Mariota,ATL,13,85,438,5.15,33.7,30,4,30
Gus EdwardsG. Edwards,BAL,9,87,433,4.98,48.1,37,3,30
James RobinsonJ. Robinson,JAX/NYJ,11,110,425,3.86,38.6,50t,3,22
Kyler MurrayK. Murray,ARI,11,67,418,6.24,38.0,42,3,23
Michael CarterM. Carter,NYJ,16,114,402,3.53,25.1,25,3,14
Samaje PerineS. Perine,CIN,16,95,394,4.15,24.6,29,2,19
Jaylen WarrenJ. Warren,PIT,16,77,379,4.92,23.7,31,1,20
Caleb HuntleyC. Huntley,ATL,12,76,366,4.82,30.5,30,1,18
Geno SmithG. Smith,SEA,17,68,366,5.38,21.5,25,1,24
Patrick MahomesP. Mahomes,KC,17,61,358,5.87,21.1,20,4,25
Rashaad PennyR. Penny,SEA,5,57,346,6.07,69.2,41t,2,15
Melvin GordonM. Gordon,DEN,10,90,318,3.53,31.8,17,2,15
Eno BenjaminE. Benjamin,ARI/HOU/NO,15,77,313,4.06,20.9,45,2,14
Clyde Edwards-HelaireC. Edwards-Helaire,KC,10,71,302,4.25,30.2,52,3,15
Zonovan KnightZ. Knight,NYJ,7,85,300,3.53,42.9,48,1,14
Trevor LawrenceT. Lawrence,JAX,17,62,291,4.69,17.1,24,5,27
Jerick McKinnonJ. McKinnon,KC,17,72,291,4.04,17.1,30,1,12
Joshua KelleyJ. Kelley,LAC,13,69,287,4.16,22.1,22,2,16
Darrell HendersonD. Henderson,LA,10,70,283,4.04,28.3,23,3,14
Alexander MattisonA. Mattison,MIN,17,74,283,3.82,16.6,15,5,21
Elijah MitchellE. Mitchell,SF,5,45,279,6.20,55.8,37,2,15
Russell WilsonR. Wilson,DEN,15,55,277,5.04,18.5,19,3,21
Justice HillJ. Hill,BAL,15,49,262,5.35,17.5,34,0,15
Jordan MasonJ. Mason,SF,16,43,258,6.00,16.1,55,1,10
Joe BurrowJ. Burrow,CIN,16,75,257,3.43,16.1,23,5,27
Chase EdmondsC. Edmonds,MIA/DEN,13,68,245,3.60,18.9,28,2,8
Jacoby BrissettJ. Brissett,CLE,16,49,243,4.96,15.2,22,2,28
Kenny GainwellK. Gainwell,PHI,17,53,240,4.53,14.1,13,4,17
Kenny PickettK. Pickett,PIT,13,55,237,4.31,18.2,23,3,23
Deon JacksonD. Jackson,IND,16,68,236,3.47,14.8,17,1,13
Mark IngramM. Ingram,NO,10,62,233,3.76,23.3,14,1,12
Deebo SamuelD. Samuel,SF,13,42,232,5.52,17.9,51,3,8
Matt BreidaM. Breida,NYG,17,54,220,4.07,12.9,18,1,13
Boston ScottB. Scott,PHI,15,54,217,4.02,14.5,21,3,12
Javonte WilliamsJ. Williams,DEN,4,47,204,4.34,51.0,17,0,9
JaMycal HastyJ. Hasty,JAX,17,46,194,4.22,11.4,61t,2,7
Curtis SamuelC. Samuel,WAS,17,38,187,4.92,11.0,21,1,11
DeeJay DallasD. Dallas,SEA,15,35,186,5.31,12.4,27,0,9
Dak PrescottD. Prescott,DAL,12,45,182,4.04,15.2,25,1,19
Deshaun WatsonD. Watson,CLE,6,36,175,4.86,29.2,21,1,10
Justin JacksonJ. Jackson,DET,16,42,170,4.05,10.6,27,1,8
Malik DavisM. Davis,DAL,12,38,161,4.24,13.4,23t,1,6
Ty JohnsonT. Johnson,NYJ,17,30,160,5.33,9.4,32t,1,5
Jonathan WilliamsJ. Williams,WAS,13,37,152,4.11,11.7,23,0,6
Justin HerbertJ. Herbert,LAC,17,54,147,2.72,8.7,23,0,17
Dontrell HilliardD. Hilliard,TEN,12,22,145,6.59,12.1,30,0,4
Gary BrightwellG. Brightwell,NYG,17,31,141,4.55,8.3,25,1,9
Kyren WilliamsK. Williams,LA,10,35,139,3.97,13.9,17,0,6
Tyler HuntleyT. Huntley,BAL,6,43,137,3.19,22.8,14,1,12
Dare OgunbowaleD. Ogunbowale,HOU,17,42,123,2.93,7.2,11,1,10
Malik WillisM. Willis,TEN,8,27,123,4.56,15.4,17,1,8
Royce FreemanR. Freeman,HOU,4,41,117,2.85,29.2,11,0,7
Avery WilliamsA. Williams,ATL,17,22,109,4.95,6.4,21,1,6
Davis MillsD. Mills,HOU,15,32,108,3.38,7.2,17t,2,8
Sam DarnoldS. Darnold,CAR,6,26,106,4.08,17.7,26,2,10
Sony MichelS. Michel,LAC,10,36,106,2.94,10.6,12,0,8
Velus JonesV. Jones,CHI,12,9,103,11.44,8.6,42t,1,5
Mike BooneM. Boone,DEN,9,24,102,4.25,11.3,18,0,6
Derek CarrD. Carr,LV,15,24,102,4.25,6.8,20,0,10
Mac JonesM. Jones,NE,14,47,102,2.17,7.3,15,1,12
Craig ReynoldsC. Reynolds,DET,9,23,102,4.43,11.3,21,0,4
Darrel WilliamsD. Williams,ARI,6,21,102,4.86,17.0,30,1,8
Zach WilsonZ. Wilson,NYJ,9,28,102,3.64,11.3,18,1,7
Pierre StrongP. Strong,NE,15,10,100,10.00,6.7,44,1,5
Tyrion Davis-PriceT. Davis-Price,SF,6,34,99,2.91,16.5,20,0,5
Ryan TannehillR. Tannehill,TEN,12,34,98,2.88,8.2,17,2,12
Kirk CousinsK. Cousins,MIN,17,31,97,3.13,5.7,19,2,11
Taylor HeinickeT. Heinicke,WAS,9,28,96,3.43,10.7,15,1,6
J.D. McKissicJ. McKissic,WAS,8,22,95,4.32,11.9,33,0,5
Amon-Ra St. BrownA. St. Brown,DET,16,9,95,10.56,5.9,58,0,3
Aaron RodgersA. Rodgers,GB,17,34,94,2.76,5.5,18,1,9
Hassan HaskinsH. Haskins,TEN,15,25,93,3.72,6.2,12,0,5
Braxton BerriosB. Berrios,NYJ,17,9,91,10.11,5.3,25,2,5
Bryce PerkinsB. Perkins,LA,5,19,90,4.74,18.0,23,0,6
Benjamin SnellB. Snell,PIT,17,20,90,4.50,5.3,16,1,6
Baker MayfieldB. Mayfield,CAR/LA,12,31,89,2.87,7.4,17,1,7
Sam EhlingerS. Ehlinger,IND,4,17,87,5.12,21.8,19,0,5
Jamal AgnewJ. Agnew,JAX,15,12,86,7.17,5.7,30,0,6
Carson WentzC. Wentz,WAS,8,22,86,3.91,10.8,18,1,4
Devin DuvernayD. Duvernay,BAL,14,12,84,7.00,6.0,18,1,7
Marlon MackM. Mack,DEN,6,16,84,5.25,14.0,17,1,4
Jarrett StidhamJ. Stidham,LV,5,14,84,6.00,16.8,11,0,7
Kadarius ToneyK. Toney,NYG/KC,9,7,82,11.71,9.1,32,1,5
Malcolm BrownM. Brown,LA,11,18,81,4.50,7.4,23t,1,3
Rex BurkheadR. Burkhead,HOU,16,26,80,3.08,5.0,9,0,4
Brandon PowellB. Powell,LA,17,17,80,4.71,4.7,20,0,6
Christian WatsonC. Watson,GB,14,7,80,11.43,5.7,46t,2,2
Ray Ray McCloudR. McCloud,SF,17,4,78,19.50,4.6,71t,1,1
Jaret PattersonJ. Patterson,WAS,3,17,78,4.59,26.0,14,0,3
Raheem BlackshearR. Blackshear,CAR,13,23,77,3.35,5.9,16,3,7
Jeff DriskelJ. Driskel,HOU,7,20,75,3.75,10.7,10,0,4
Travis HomerT. Homer,SEA,10,19,74,3.89,7.4,16,0,4
Jared GoffJ. Goff,DET,17,29,73,2.52,4.3,14,0,5
Ronald Jones IIR. Jones,KC,6,17,70,4.12,11.7,13,1,4
Matt RyanM. Ryan,IND,12,27,70,2.59,5.8,39,1,9
Steven SimsS. Sims,PIT,12,13,70,5.38,5.8,22,0,5
Tua TagovailoaT. Tagovailoa,MIA,13,24,70,2.92,5.4,18,0,4
Tyrod TaylorT. Taylor,NYG,3,5,70,14.00,23.3,32,0,5
Zamir WhiteZ. White,LV,14,17,70,4.12,5.0,22,0,4
Trey LanceT. Lance,SF,2,16,67,4.19,33.5,13,0,7
Brandon BoldenB. Bolden,LV,16,17,66,3.88,4.1,12,0,3
Laviska ShenaultL. Shenault,CAR,13,9,65,7.22,5.0,41t,1,1
Salvon AhmedS. Ahmed,MIA,12,12,64,5.33,5.3,11t,1,4
Darrynton EvansD. Evans,CHI,6,14,64,4.57,10.7,21,0,3
Desmond RidderD. Ridder,ATL,4,16,64,4.00,16.0,18,0,4
Trace McSorleyT. McSorley,ARI,6,15,61,4.07,10.2,14,0,3
Keaontay IngramK. Ingram,ARI,12,27,60,2.22,5.0,13,1,4
Chase ClaypoolC. Claypool,PIT/CHI,15,9,59,6.56,3.9,15,0,3
Parris CampbellP. Campbell,IND,17,5,58,11.60,3.4,28,0,2
Jordan WilkinsJ. Wilkins,IND,4,13,58,4.46,14.5,9,0,2
Anthony SchwartzA. Schwartz,CLE,11,4,57,14.25,5.2,31t,1,2
Rashid ShaheedR. Shaheed,NO,12,4,57,14.25,4.8,44t,1,2
Corey ClementC. Clement,ARI,9,15,55,3.67,6.1,12,1,6
Isaiah McKenzieI. McKenzie,BUF,15,9,55,6.11,3.7,18,1,3
C.J. MooreC. Moore,DET,11,2,55,27.50,5.0,42,0,2
Andy DaltonA. Dalton,NO,14,30,54,1.80,3.9,14,0,6
Trestan EbnerT. Ebner,CHI,17,24,54,2.25,3.2,11,0,2
Equanimeous St. BrownE. St. Brown,CHI,16,6,54,9.00,3.4,41,0,2
Chris StrevelerC. Streveler,NYJ,2,9,54,6.00,27.0,14,0,1
D.J. MooreD. Moore,CAR,17,10,53,5.30,3.1,11,0,3
Ke'Shawn VaughnK. Vaughn,TB,15,17,53,3.12,3.5,12,0,3
Kevin HarrisK. Harris,NE,5,18,52,2.89,10.4,14t,1,3
